#chrom	start	end	Meth Dif_24mo-4mo	class_24mo_v_4mo	Gene name	name	features
chr1	173704015	173704101	-0.518	strongHypo	Slamf1	NM_013730	T:1stIntron;T:ExtGene;T:Gene;T:Intron;
chr1	145785825	145785997	-0.51	strongHypo	Rgs2	NM_009061	T:Other;
chr1	151861480	151861542	-0.504	strongHypo	Pla2g4a	NM_008869	T:Other;
chr1	136894815	136895000	-0.5	strongHypo	Lgr6	NM_001033409	T:Exon;T:ExtGene;T:Gene;T:Intron;
chr1	62759697	62759873	-0.493	strongHypo	Nrp2	NM_001077406	T:1stIntron;T:ExtGene;T:Gene;T:Intron;
chr1	38365565	38365701	-0.487	strongHypo	Aff3	NM_010678	T:ExtGene;T:Gene;T:Intron;
chr1	78601511	78601582	-0.469	strongHypo	Utp14b	NM_001001981	T:Other;
chr1	54923997	54924182	-0.466	strongHypo	Ankrd44	NM_001081433	T:1stIntron;T:ExtGene;T:Gene;T:Intron;
chr1	104524777	104524857	-0.462	strongHypo	Gm20268	NR_037989	T:Rleft;
chr1	77278436	77278584	-0.46	strongHypo	Epha4	NM_007936	T:Other;
chr1	51346329	51347856	-0.458	strongHypo	Sdpr	NM_138741	T:1stExon;T:1stIntron;T:Center30ct;T:Exon;T:ExtGene;T:Gene;T:Intron;T:Prom;T:Prom_woCGI;T:TpUTR;T:TpUTR_woCGI;T:TSSdn1k;
chr1	37587089	37587265	-0.453	strongHypo	Mgat4a	NM_173870	T:1stIntron;T:ExtGene;T:Gene;T:Intron;T:SINE;
chr1	150875572	150875671	-0.452	strongHypo	Pla2g4a	NM_008869	T:Other;
chr1	63904314	63904395	-0.447	strongHypo	4933402D24Rik	NM_001256158	T:Other;
chr1	145104648	145104771	-0.433	strongHypo	Cdc73	NM_145991	T:Other;
chr1	51348467	51349524	-0.423	strongHypo	Sdpr	NM_138741	T:1stIntron;T:Center30ct;T:ExtGene;T:Gene;T:Intron;T:TpUTR;T:TpUTR_woCGI;T:SINE;
chr1	99807631	99807689	-0.407	strongHypo	Pam	NM_013626	T:ExtGene;T:Gene;T:Intron;
