#chrom,start,end,Meth Dif_24mo-4mo,class_24mo_v_4mo,Gene name,name,features
chr1,7129846,7130217,-0.189,strongHypo,Pcmtd1,NM_183028,T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1,7767671,7767736,-0.209,strongHypo,Sntg1,NM_027671,T:LTR;
chr1,8459152,8459581,0.15,strongHyper,Sntg1,NM_027671,T:ExtGene;T:Gene;T:Intron;T:LINE;T:LowComplexity;
chr1,8926606,8926695,0.188,strongHyper,Sntg1,NM_027671,T:Center30ct;T:ExtGene;T:FpUTR;T:FpUTR_wiCGI;T:Gene;T:Intron;T:LTR;
chr1,9847704,9847889,0.224,strongHyper,Sgk3,NM_001037759,T:Center30ct;T:ExtGene;T:FpUTR;T:FpUTR_wiCGI;T:Gene;T:Intron;T:LTR;
chr1,11023359,11023820,-0.281,strongHypo,Prex2,NM_029525,T:1stIntron;T:ExtGene;T:Gene;T:Intron;
chr1,11025004,11025209,-0.27,strongHypo,Prex2,NM_029525,T:1stIntron;T:ExtGene;T:Gene;T:Intron;T:LTR;
chr1,12895418,12896296,0.15,strongHyper,Slco5a1,NM_172841,T:ExtGene;T:Gene;T:Intron;
chr1,13093587,13093759,-0.195,strongHypo,Prdm14,NM_001081209,T:Other;
chr1,13639766,13639873,0.174,strongHyper,Lactb2,NM_145381,T:ExtGene;T:Gene;T:Intron;
chr1,13649576,13649852,-0.177,strongHypo,Lactb2,NM_145381,T:CGI_shore;T:1stIntron;T:ExtGene;T:Gene;T:Intron;T:Prom;T:Prom_wiCGI;T:TSSdn1k;T:DNA;
chr1,14291255,14291434,-0.199,strongHypo,Eya1,NM_001252192,T:ExtGene;T:Gene;T:Intron;T:LowComplexity;
chr1,14293151,14293401,-0.236,strongHypo,Eya1,NM_001252192,T:ExtGene;T:FpUTR;T:FpUTR_wiCGI;T:Gene;T:Intron;
chr1,15668767,15669207,-0.275,strongHypo,Kcnb2,NM_001098528,T:1stIntron;T:ExtGene;T:Gene;T:Intron;T:LINE;
chr1,15673485,15674383,-0.196,strongHypo,Kcnb2,NM_001098528,T:1stIntron;T:ExtGene;T:Gene;T:Intron;
chr1,15790282,15790713,-0.153,strongHypo,Terf1,NM_009352,T:Other;
chr1,16049942,16050221,0.188,strongHyper,4930444P10Rik,NM_001243238,T:Other;
chr1,16934313,16934590,0.184,strongHyper,Jph1,NM_020604,T:LTR;
chr1,20902704,20902907,0.266,strongHyper,Paqr8,NM_028829,T:1stIntron;T:Center30ct;T:ExtGene;T:FpUTR;T:FpUTR_wiCGI;T:Gene;T:Intron;
chr1,20948848,20949038,-0.223,strongHypo,Efhc1,NM_027974,T:ExtGene;T:Gene;T:Intron;T:SimpleRepeat;
chr1,21067467,21067752,0.151,strongHyper,Tram2,NM_133252,T:CGI_shore;T:1stIntron;T:ExtGene;T:Gene;T:Intron;
chr1,21152913,21153085,0.319,strongHyper,Tmem14a,NM_029398,T:Other;
chr1,22392042,22392115,0.178,strongHyper,Rims1,NM_001012623,T:ExtGene;T:Gene;T:Intron;T:LINE;T:SINE;
chr1,23398525,23399000,-0.177,strongHypo,Ogfrl1,NM_001081079,T:LTR;
chr1,24475441,24475558,0.154,strongHyper,Col19a1,NM_007733,T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1,24755500,24755618,-0.27,strongHypo,Lmbrd1,NM_026719,T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1,25162571,25163091,0.202,strongHyper,Bai3,NM_175642,T:ExtGene;T:Gene;T:Intron;T:SimpleRepeat;
chr1,32450316,32450405,0.236,strongHyper,Khdrbs2,NM_133235,T:Center30ct;T:ExtGene;T:Gene;T:Intron;T:LTR;
chr1,32748600,32748877,0.184,strongHyper,Khdrbs2,NM_133235,T:LINE;
chr1,33586371,33586689,0.212,strongHyper,Prim2,NM_008922,T:Center30ct;T:ExtGene;T:Gene;T:Intron;T:LINE;
chr1,33664301,33664490,0.287,strongHyper,Prim2,NM_008922,T:ExtGene;T:Gene;T:Intron;
chr1,34294127,34294301,-0.23,strongHypo,Dst,NM_133833,T:ExtGene;T:Gene;T:Intron;
chr1,34522300,34522496,-0.232,strongHypo,Ptpn18,NM_011206,T:Center30ct;T:ExtGene;T:Gene;T:Intron;T:LINE;
chr1,35457870,35458197,-0.212,strongHypo,Plekhb2,NM_145516,T:Other;
chr1,35830344,35830620,0.165,strongHyper,Hs6st1,NM_015818,T:LTR;
chr1,35926611,35926714,-0.178,strongHypo,Hs6st1,NM_015818,T:Other;
chr1,36170729,36170842,0.233,strongHyper,Hs6st1,NM_015818,T:LTR;
chr1,36230135,36230257,-0.241,strongHypo,Uggt1,NM_198899,T:ExtGene;T:Gene;T:Intron;
chr1,36291815,36292195,-0.186,strongHypo,Uggt1,NM_198899,T:1stIntron;T:ExtGene;T:Gene;T:Intron;T:LTR;
chr1,36311661,36312301,-0.191,strongHypo,Neurl3,NM_153408,T:Other;
chr1,36424817,36425001,0.342,strongHyper,4632411B12Rik,NM_172652,T:CGI_shore;T:1stIntron;T:Exon;T:ExtGene;T:FpUTR;T:FpUTR_wiCGI;T:Gene;T:Intron;
chr1,36529404,36529505,-0.17,strongHypo,Cnnm4,NM_033570,T:CGI_shore;T:1stExon;T:Exon;T:ExtGene;T:Gene;T:Prom;T:Prom_wiCGI;T:TSSdn1k;
chr1,36685348,36685645,-0.168,strongHypo,Fam178b,NM_201365,T:Center30ct;T:ExtGene;T:Gene;T:Intron;T:LTR;
chr1,36776428,36776549,0.307,strongHyper,4933424G06Rik,NR_040290,T:ExtGene;T:FpUTR;T:FpUTR_woCGI;T:Gene;T:Intron;
chr1,36803614,36803777,-0.161,strongHypo,4933424G06Rik,NR_040290,T:ExtGene;T:FpUTR;T:FpUTR_woCGI;T:Gene;T:Intron;
chr1,36811448,36811700,0.173,strongHyper,4933424G06Rik,NR_040290,T:ExtGene;T:FpUTR;T:FpUTR_woCGI;T:Gene;T:Intron;T:LTR;
chr1,36838714,36838795,0.198,strongHyper,Zap70,NM_009539,T:ExtGene;T:Gene;T:Intron;T:TTSup1k;
chr1,36879802,36880027,-0.25,strongHypo,Tmem131,NM_018872,T:Exon;T:ExtGene;T:Gene;T:Intron;
chr1,37059023,37059474,-0.206,strongHypo,Tmem131,NM_018872,T:LINE;T:SINE;
chr1,37144464,37145058,0.164,strongHyper,Cnga3,NM_009918,T:SimpleRepeat;T:SINE;
chr1,37210873,37211244,-0.184,strongHypo,Cnga3,NM_009918,T:Other;
chr1,37279019,37279082,-0.188,strongHypo,Cnga3,NM_009918,T:1stIntron;T:ExtGene;T:FpUTR;T:FpUTR_woCGI;T:Gene;T:Intron;
chr1,37558009,37558374,-0.268,strongHypo,Mgat4a,NM_173870,T:1stIntron;T:Center30ct;T:ExtGene;T:Gene;T:Intron;T:SINE;
chr1,37587089,37587265,-0.453,strongHypo,Mgat4a,NM_173870,T:1stIntron;T:ExtGene;T:Gene;T:Intron;T:SINE;
chr1,37671187,37671437,0.163,strongHyper,2010300C02Rik,NM_028096,T:Exon;T:ExtGene;T:Gene;T:Intron;
chr1,37753394,37753563,-0.384,strongHypo,2010300C02Rik,NM_028096,T:1stIntron;T:ExtGene;T:FpUTR;T:FpUTR_wiCGI;T:Gene;T:Intron;
chr1,37754634,37754763,0.178,strongHyper,2010300C02Rik,NM_028096,T:1stIntron;T:ExtGene;T:FpUTR;T:FpUTR_wiCGI;T:Gene;T:Intron;
chr1,37797076,37797302,0.185,strongHyper,Tsga10,NM_207228,T:LTR;
chr1,38365565,38365701,-0.487,strongHypo,Aff3,NM_010678,T:ExtGene;T:Gene;T:Intron;
chr1,38644187,38644746,-0.202,strongHypo,Aff3,NM_010678,T:ExtGene;T:Gene;T:Intron;
chr1,38696219,38696424,0.18,strongHyper,Aff3,NM_010678,T:1stIntron;T:ExtGene;T:FpUTR;T:FpUTR_wiCGI;T:Gene;T:Intron;T:LINE;
chr1,38782862,38782952,-0.223,strongHypo,Aff3,NM_010678,T:Other;
chr1,39069673,39069733,-0.286,strongHypo,Pdcl3,NM_026850,T:Other;
chr1,39268743,39268916,-0.283,strongHypo,Npas2,NM_008719,T:1stIntron;T:ExtGene;T:FpUTR;T:FpUTR_wiCGI;T:Gene;T:Intron;T:LINE;
chr1,39329900,39330099,-0.202,strongHypo,Npas2,NM_008719,T:Center30ct;T:ExtGene;T:Gene;T:Intron;T:LINE;
chr1,39442137,39442214,-0.18,strongHypo,Tbc1d8,NM_018775,T:ExtGene;T:Gene;T:Intron;
chr1,39467103,39467368,-0.217,strongHypo,Tbc1d8,NM_018775,T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1,39485069,39485359,-0.17,strongHypo,Tbc1d8,NM_018775,T:1stIntron;T:Center30ct;T:ExtGene;T:Gene;T:Intron;T:LINE;T:SINE;
chr1,39511104,39511225,-0.169,strongHypo,Tbc1d8,NM_018775,T:1stIntron;T:ExtGene;T:Gene;T:Intron;T:SINE;
chr1,39560153,39560214,0.238,strongHyper,Tbc1d8,NM_018775,T:Other;
chr1,39744354,39744454,0.2,strongHyper,Rfx8,NM_001145660,T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1,39793719,39793835,0.193,strongHyper,Rfx8,NM_001145660,T:LINE;
chr1,39982635,39982962,-0.23,strongHypo,Map4k4,NM_001252200,T:ExtGene;T:Gene;T:Intron;
chr1,39989728,39989797,0.164,strongHyper,Map4k4,NM_001252200,T:ExtGene;T:Gene;T:Intron;
chr1,40036162,40036242,0.229,strongHyper,Map4k4,NM_001252200,T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1,40297437,40297606,0.378,strongHyper,Il1r1,NM_008362,T:1stIntron;T:ExtGene;T:Gene;T:Intron;
chr1,40364414,40364466,0.238,strongHyper,Il1r1,NM_001123382,T:ExtGene;T:Gene;T:Intron;T:LTR;
chr1,40449497,40449657,0.423,strongHyper,Il1rl2,NM_133193,T:Other;
chr1,40571850,40571938,0.229,strongHyper,Il18rap,NM_010553,T:ExtGene;T:Prom;T:Prom_woCGI;T:TSSup1k;T:TSSup1k_woCGI;
chr1,42299345,42299458,-0.155,strongHypo,2610017I09Rik,NR_027826,T:Other;
chr1,42300828,42300887,0.39,strongHyper,2610017I09Rik,NR_027826,T:Other;
chr1,42318543,42318696,0.234,strongHyper,2610017I09Rik,NR_027826,T:Other;
chr1,42531212,42531376,0.179,strongHyper,2610017I09Rik,NR_027826,T:SINE;
chr1,42717764,42717870,0.151,strongHyper,2610017I09Rik,NR_027826,T:ExtGene;T:Gene;T:Intron;T:TpUTR;T:TpUTR_wiCGI;
chr1,42852299,42852400,-0.367,strongHypo,Mrps9,NM_023514,T:LINE;
chr1,42867207,42867299,0.336,strongHyper,Mrps9,NM_023514,T:Other;
chr1,42929607,42929667,-0.194,strongHypo,Mrps9,NM_023514,T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1,43417327,43417400,0.217,strongHyper,Nck2,NM_010879,T:Other;
chr1,43469814,43470464,-0.209,strongHypo,Nck2,NM_010879,T:DNA;
chr1,43504830,43505005,-0.196,strongHypo,Nck2,NM_010879,T:CGI_shore;T:1stIntron;T:ExtGene;T:FpUTR;T:FpUTR_wiCGI;T:Gene;T:Intron;
chr1,43592548,43592738,0.187,strongHyper,Nck2,NM_010879,T:ExtGene;T:Gene;T:Intron;T:LINE;
chr1,44219024,44219093,0.252,strongHyper,Ercc5,NM_011729,T:Center30ct;T:ExtGene;T:Gene;T:Intron;T:LINE;
chr1,50893124,50893287,-0.21,strongHypo,Tmeff2,NM_019790,T:Other;
chr1,51346329,51347856,-0.458,strongHypo,Sdpr,NM_138741,T:1stExon;T:1stIntron;T:Center30ct;T:Exon;T:ExtGene;T:Gene;T:Intron;T:Prom;T:Prom_woCGI;T:TpUTR;T:TpUTR_woCGI;T:TSSdn1k;
chr1,51348467,51349524,-0.423,strongHypo,Sdpr,NM_138741,T:1stIntron;T:Center30ct;T:ExtGene;T:Gene;T:Intron;T:TpUTR;T:TpUTR_woCGI;T:SINE;
chr1,51352635,51352985,-0.354,strongHypo,Sdpr,NM_138741,T:1stIntron;T:Center30ct;T:ExtGene;T:Gene;T:Intron;T:TpUTR;T:TpUTR_woCGI;T:SimpleRepeat;
chr1,51596875,51597003,0.284,strongHyper,Obfc2a,NM_028696,T:Other;
chr1,52157343,52157565,-0.305,strongHypo,Stat4,NM_011487,T:ExtGene;T:Gene;T:Intron;
chr1,52228169,52228336,-0.196,strongHypo,Gls,NM_001081081,T:ExtGene;T:Gene;T:Intron;
chr1,52398918,52399233,0.243,strongHyper,Gls,NM_001113383,T:LTR;
chr1,53777875,53778066,-0.214,strongHypo,Dnahc7a,NM_001252070,T:SINE;
chr1,53825314,53825547,-0.26,strongHypo,Stk17b,NM_133810,T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1,54620912,54621119,0.159,strongHyper,Pgap1,NM_001163314,T:DNA;
chr1,54923997,54924182,-0.466,strongHypo,Ankrd44,NM_001081433,T:1stIntron;T:ExtGene;T:Gene;T:Intron;
chr1,55084673,55084758,0.302,strongHyper,Sf3b1,NM_031179,T:CGI_shore;T:ExtGene;T:Prom;T:Prom_wiCGI;T:TSSup1k;T:TSSup1k_wiCGI;T:SINE;
chr1,55464013,55464907,-0.222,strongHypo,Plcl1,NM_001114663,T:CGI_shore;T:1stIntron;T:ExtGene;T:Gene;T:Intron;
chr1,55490982,55491473,-0.195,strongHypo,Plcl1,NM_001114663,T:1stIntron;T:ExtGene;T:Gene;T:Intron;
chr1,55627123,55627424,-0.214,strongHypo,Plcl1,NM_001114663,T:1stIntron;T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1,55772536,55772708,0.21,strongHyper,Plcl1,NM_001114663,T:ExtGene;T:Gene;T:Intron;T:SimpleRepeat;
chr1,56511941,56512302,-0.299,strongHypo,Hsfy2,NM_027661,T:SimpleRepeat;
chr1,56696431,56696762,0.184,strongHyper,Hsfy2,NM_027661,T:Other;
chr1,56853820,56853907,0.227,strongHyper,Satb2,NM_139146,T:Exon;T:ExtGene;T:Gene;
chr1,57410161,57410533,0.193,strongHyper,4930558J18Rik,NR_037999,T:Other;
chr1,58397484,58397681,-0.262,strongHypo,Aox3l1,NM_001008419,T:Center30ct;T:ExtGene;T:Gene;T:Intron;T:SINE;
chr1,58476541,58477044,-0.216,strongHypo,Clk1,NM_001042634,T:Center30ct;T:Exon;T:ExtGene;T:Gene;T:TpUTR;T:TpUTR_wiCGI;T:LowComplexity;
chr1,58500867,58500981,-0.256,strongHypo,Ppil3,NM_027374,T:CGI_shore;T:ExtGene;T:Gene;T:Intron;
chr1,58767509,58767729,0.163,strongHyper,Cflar,NM_009805,T:CGI_shore;
chr1,59127708,59127920,0.238,strongHyper,Als2cr11,NM_175200,T:Center30ct;T:ExtGene;T:Gene;T:Intron;T:LINE;
chr1,59270981,59271348,-0.317,strongHypo,Als2,NM_146109,T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1,59397918,59397972,-0.2,strongHypo,Cdk15,NM_001033373,T:ExtGene;T:Gene;T:Intron;
chr1,59466536,59466705,0.152,strongHyper,Cdk15,NM_001033373,T:Other;
chr1,59540755,59540929,0.166,strongHyper,Fzd7,NM_008057,T:CGI;T:CGI_shore;T:CGI_wiGene;T:CGI_wiGeneExt2k;T:CGI_wiProm;T:CGI_wiTSSup1k;T:1stExon;T:Center30ct;T:Exon;T:ExtGene;T:Gene;
chr1,59544802,59545228,-0.17,strongHypo,Fzd7,NM_008057,T:SimpleRepeat;
chr1,60772495,60772847,-0.329,strongHypo,Cd28,NM_007642,T:LINE;T:SINE;
chr1,61047244,61047355,0.171,strongHyper,Icos,NM_017480,T:1stIntron;T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1,61627481,61627886,-0.191,strongHypo,Pard3b,NM_001081050,T:LINE;
chr1,62711753,62712353,0.161,strongHyper,Pard3b,NM_001081050,T:Other;
chr1,62751638,62751747,0.209,strongHyper,Nrp2,NM_001077406,T:CGI_shore;T:1stIntron;T:ExtGene;T:Gene;T:Intron;
chr1,62759697,62759873,-0.493,strongHypo,Nrp2,NM_001077406,T:1stIntron;T:ExtGene;T:Gene;T:Intron;
chr1,62842376,62842626,0.219,strongHyper,Nrp2,NM_001077406,T:Exon;T:ExtGene;T:Gene;T:TpUTR;T:TpUTR_woCGI;
chr1,63295332,63295428,0.235,strongHyper,Zdbf2,NM_028673,T:CGI_shore;
chr1,63307827,63308000,0.201,strongHyper,Zdbf2,NM_028673,T:Other;
chr1,63564542,63564726,-0.289,strongHypo,Adam23,NM_001177600,T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1,63686279,63686814,-0.285,strongHypo,Dytn,NM_001081658,T:ExtGene;T:Gene;T:Intron;T:DNA;
chr1,63904314,63904395,-0.447,strongHypo,4933402D24Rik,NM_001256158,T:Other;
chr1,64166169,64166518,-0.155,strongHypo,Klf7,NM_033563,T:CGI_shore;T:1stIntron;T:ExtGene;T:Gene;T:Intron;T:SimpleRepeat;
chr1,64662315,64662456,0.218,strongHyper,Mettl21a,NM_025964,T:CGI_shore;T:1stIntron;T:ExtGene;T:Gene;T:Intron;
chr1,65169301,65169941,-0.169,strongHypo,D630023F18Rik,NM_175293,T:1stExon;T:1stIntron;T:Exon;T:ExtGene;T:FpUTR;T:FpUTR_woCGI;T:Gene;T:Intron;T:Prom;T:Prom_woCGI;T:TSSdn1k;T:TSSup1k;T:TSSup1k_woCGI;
chr1,66429122,66429215,0.267,strongHyper,Mtap2,NM_001039934,T:ExtGene;T:Gene;T:Intron;T:DNA;
chr1,69545523,69545789,-0.21,strongHypo,Ikzf2,NM_011770,T:Other;
chr1,69806251,69806320,0.214,strongHyper,Spag16,NM_029160,T:Other;
chr1,69875870,69876029,-0.319,strongHypo,Spag16,NM_029160,T:1stIntron;T:ExtGene;T:Gene;T:Intron;T:LINE;T:LTR;
chr1,71932696,71933127,-0.296,strongHypo,Gm8883,NR_027658,T:LTR;
