#chrom	start	end	Meth Dif_24mo-4mo	class_24mo_v_4mo	Gene name	name	features
chr1	8459152	8459581	0.15	strongHyper	Sntg1	NM_027671	T:ExtGene;T:Gene;T:Intron;T:LINE;T:LowComplexity;
chr1	12895418	12896296	0.15	strongHyper	Slco5a1	NM_172841	T:ExtGene;T:Gene;T:Intron;
chr1	21067467	21067752	0.151	strongHyper	Tram2	NM_133252	T:CGI_shore;T:1stIntron;T:ExtGene;T:Gene;T:Intron;
chr1	42717764	42717870	0.151	strongHyper	2610017I09Rik	NR_027826	T:ExtGene;T:Gene;T:Intron;T:TpUTR;T:TpUTR_wiCGI;
chr1	78162357	78162409	0.151	strongHyper	Pax3	NM_001159520	T:ExtGene;T:Gene;T:Intron;
chr1	95062662	95063124	0.151	strongHyper	2310007B03Rik	NM_172411	T:Other;
chr1	59466536	59466705	0.152	strongHyper	Cdk15	NM_001033373	T:Other;
chr1	80393205	80393530	0.153	strongHyper	1700016L21Rik	NR_040460	T:SINE;
chr1	91682320	91682652	0.153	strongHyper	Agap1	NM_001037136	T:ExtGene;T:Gene;T:Intron;
chr1	167646284	167646380	0.153	strongHyper	Rcsd1	NM_001038846	T:Other;
chr1	24475441	24475558	0.154	strongHyper	Col19a1	NM_007733	T:Center30ct;T:ExtGene;T:Gene;T:Intron;
chr1	174244473	174244758	0.154	strongHyper	Igsf8	NM_080419	T:CGI_shore;T:1stIntron;T:ExtGene;T:Gene;T:Intron;
chr1	78304878	78305307	0.155	strongHyper	Sgpp2	NM_001004173	T:CGI_shore;T:SimpleRepeat;T:SINE;
chr1	91832169	91832304	0.155	strongHyper	Gbx2	NM_010262	T:Other;
chr1	78116849	78117013	0.156	strongHyper	Pax3	NM_001159520	T:ExtGene;T:Gene;T:Intron;
chr1	75378220	75378302	0.157	strongHyper	Speg	NM_007463	T:CGI_shore;T:1stIntron;T:ExtGene;T:Gene;T:Intron;T:Prom;T:Prom_wiCGI;T:TSSup1k;T:TSSup1k_wiCGI;
chr1	190373748	190374054	0.157	strongHyper	Ush2a	NM_021408	T:Center30ct;T:Exon;T:ExtGene;T:Gene;T:Intron;
chr1	77968790	77968940	0.158	strongHyper	Pax3	NM_001159520	T:Other;
chr1	92118783	92119025	0.158	strongHyper	Cxcr7	NM_007722	T:Other;
chr1	126978608	126978945	0.158	strongHyper	Actr3	NM_001205385	T:LTR;
chr1	186142946	186143007	0.158	strongHyper	1700112H15Rik	NR_040472	T:Other;
chr1	54620912	54621119	0.159	strongHyper	Pgap1	NM_001163314	T:DNA;
chr1	108711721	108712206	0.159	strongHyper	Vps4b	NM_009190	T:Other;
chr1	166227879	166228277	0.159	strongHyper	Blzf1	NM_001160208	T:Center30ct;T:ExtGene;T:Gene;T:Intron;T:SINE;
